x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049,x050,x051,x052,x053,x054,x055,x056,x057,x058,x059,x060,x061,x062,x063,x064,x065,x066,x067,x068,x069,x070,x071,x072,x073,x074,x075,x076,x077,x078,x079,x080,x081,x082,x083,x084,x085,x086,x087,x088,x089,x090,x091,x092,x093,x094,x095,x096,x097,x098,x099,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,y
1084094,426,39,128,426,0,0,0,0,0,2,4,4,9,19,5,14,8,5,6,2,3,2,1,1,1,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0.6959,197600,60073,140000,200,2,0,0,0,0,0,0,0,0,1,0,0.9754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,0,0,0,967,812,27600,51633,426,62,244,0,0,,0,1,1,1,1,1,1,9,2,0,1,0,61,53,57,483322,0.8827,1,1,1,0,0,,,,,0,0,0,0.1943,484289,0,,0,0,0,484289,0,484289,1,1,1,0,0,1,,,,0,346762,,0,,0,,0,0,0,0,,0,,807
1287777,160,2,64,160,1,1,2,0,1,3,3,7,5,21,5,16,5,3,9,2,3,1,9,1,1,1,3,9,6,0,0,0,0,0,0,0,0,0,0,0.0269,25000,24327,18000,600,2,0,0,0,0,0,0,0,0,0,0,0.0557,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,0,0,0,0,673,557,18000,24327,160,102,131,1,0,,0,1,1,1,1,1,1,3,1,0,1,0,49,49,49,107316,0.9172,1,1,1,1,17318,9,2,5.5,0.8417,1,1,1,0.2356,125307,0,,0,0,0,125307,0,125307,1,1,1,2,0,1,9,2,5.5,17318,124634,0.8417,0,,17318,0.8417,1,1,1,0,,0,,819
1483016,163,16,104,239,0,0,0,1,0,1,0,0,6,8,3,5,4,2,7,3,3,2,0,0,0,1,0,0,4,1,0,0,0,1,1,0,0,0,1,0.0458,15400,14694,9000,500,1,1,0,0,0,0,0,0,0,0,0,0.1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666,0.6666,2,2,2,2,0,0,0,0,0,706,637,9000,14694,163,16,104.3333,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0308,706,0,,0,0,0,706,0,706,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,803
959054,,,,102,0,0,0,0,0,0,2,2,0,4,0,4,2,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,1,4,6,0,0,1,3,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.3025,619,619,0.8123,0,0,0,0,0,0,1,1,1,0,0,9,,,,0,0,,0,,0,,1,1,1,0,,0,,530
1342113,3,2,2,62,0,2,2,0,0,1,2,0,0,5,2,3,2,2,2,1,1,1,3,0,1,1,0,3,2,3,0,1,1,1,3,0,1,1,1,1.4199,300,-126,300,300,0,0,0,0,0,0,0,0,0,0,2,1.4199,1.4199,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,3,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,845,426,300,-126,3,3,3,2,1,1.4199,426,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,1,17413,2,2,2,1.018,1,1,1,0.8402,38837,21424,0.7357,1,1,1,17839,426,17413,1,1,1,1,0,9,2,2,2,17413,17413,1.018,0,,17413,1.018,1,1,1,0,,0,,485
807817,112,112,112,187,1,0,0,0,0,0,0,2,9,11,1,10,4,1,4,1,1,1,6,0,1,1,0,1,4,1,0,0,0,0,1,0,0,0,0,0.0044,5000,4978,5000,1000,1,0,0,0,0,0,0,0,0,0,0,0.0044,0.0044,6,0,0,2,2,5,6,0,0,0,0,0,0,0,5,0,14993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,35,0,0,1,1,1,0,0,2,2,2,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,22,22,5000,4978,112,112,112,1,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0004,22,0,,0,0,0,22,0,22,1,1,1,0,0,5,,,,0,0,,0,,0,,0,0,0,0,,0,,665
906658,343,54,220,346,0,0,0,0,0,2,1,1,15,19,7,12,6,3,11,5,3,2,2,1,1,1,4,2,9,0,0,0,0,0,0,0,0,0,0,0.0174,157000,154255,500000,124,3,0,0,0,0,0,0,0,0,0,0,0.0535,0,5,0,1,2,2,3,5,1,0,0,0,0,1,1,0,0,3473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,2,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,2,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5999,0.5999,5,5,5,5,4,4,0,0,0,5317,2676,60000,154255,343,54,238.1666,2,0,,0,1,1,1,1,1,1,5,1,0,1,0,117,117,117,696762,0.9953,1,1,1,0,0,,,,,0,0,0,0.2208,702079,0,,0,0,0,702079,8,702071,1,1,1,0,0,1,,,,0,696762,,0,,0,,0,0,0,0,,0,,751
1202685,175,13,75,208,1,0,0,5,1,0,1,0,11,18,5,13,6,3,11,2,2,1,4,0,1,1,0,1,7,4,0,0,0,0,3,0,0,0,0,0.1719,1500,1242,5200,500,1,0,0,1,0,0,0,0,0,0,0,0.396,0.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,258,198,5200,1242,175,18,96.5,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.1004,9141,0,,0,0,0,9141,0,9141,1,1,1,1,0,1,13,13,13,8883,8883,0.8882,0,,8883,0.8882,1,1,1,0,,0,,751
1547270,53,5,29,86,0,1,1,0,1,3,3,4,0,12,2,10,4,2,4,2,2,2,8,0,1,1,0,2,2,2,0,1,2,2,2,0,1,2,2,0.0223,1300,1271,3500,300,1,0,0,0,0,0,0,0,0,0,0,0.0322,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,3,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,27,0,0,0,0,3,0,0,0,0,24,0,0,0,0,21,0.5,0.5,0,0,0,0,0,0,0,1,1,29,29,3500,1271,53,5,29,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,1,1,1,0.1471,9642,9613,0.3884,0,0,0,29,0,29,1,1,1,0,0,9,,,,0,0,,0,,0,,1,1,1,0,5,0,,642
1163310,,,,46,1,0,0,1,3,2,0,0,0,6,0,6,4,0,5,0,3,0,1,0,1,1,0,1,4,11,0,0,1,1,4,0,0,1,1,,0,0,700,400,0,0,0,1,0,0,0,0,0,0,1,,,5,0,0,1,3,5,5,0,0,0,0,0,0,0,1,0,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,6,1,1,6,6,6,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,983,860,700,0,,,,5,0,,0,0,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,1,1,1,0.8857,28239,28239,0.8857,0,0,0,0,0,0,1,1,1,0,0,9,,,,0,0,,0,,0,,1,1,1,0,,0,,473
